Quote	Verb	Type	Author	Title	Page	Original Publication Date	Original Publisher	Reprint Collection	Reprint Publisher	Reprint Publication Date	Pseudonymn																
&ldquo;[T]here is no question that service employees that have come forward with sex harassment allegations in the high-end restaurant industry have been unfairly maligned, especially when it comes to future employment.&rdquo;	flip	journalism	Kitty Greenwald	&ldquo;The Predators in the Kitchen&rdquo;		26 May 2018	The New York Times																				

To me, feasting, feeding and eating with people remains a generous and celebratory act, one I find beautiful. And I know that to succeed in restaurants, which are notoriously challenging both physically and financially, passion is key.	pour	journalism	Kitty Greenwald	&ldquo;The Predators in the Kitchen		26 May 2018	The New York Times																				

A celebrity chef told me that her shirt was ripped off of her when she was working as a line cook early on in her career.	remove	journalism	Kitty Greenwald	&ldquo;The Predators in the Kitchen&rdquo;		26 May 2018	The New York Times																				

In all of my conversations with women in the food industry, I was struck by the pattern of young women who were drawn to restaurants as a possible career&mdash;and who changed their minds after their early experiences.	flip	journalism	Kitty Greenwald	&ldquo;The Predators in the Kitchen&rdquo;		26 May 2018	The New York Times																				

High-end kitchens have long been regarded as a male domain, with culinary students worshiping brutal but allegedly brilliant men...	press	journalism	Jen Agg	&ldquo;Sexism in the Kitchen&rdquo;		19 October 2015	The New York Times																				

Slapping with tongs, snapping bras, relentless grabbing&mdash;women chefs learn quickly to crouch, never bend over, when picking up a pot.	adjust	journalism	Jen Agg	&ldquo;Sexism in the Kitchen&rdquo;		19 October 2015	The New York Times																				

[F]emale chefs on television showcase their skills in their own homes, or sets designed to look like them, reinforcing the notion that that&rsquo;s where women cook.	close	journalism	Marnie Hanel	&ldquo;A Woman&rsquo;s Place is Running the Kitchen&rdquo;		28 March 2014	The New York Times																				

Should home cooks throw out the cookbooks from chefs exposed for regularly grabbing and propositioning women? What if the chef is facing sexual assault charges?	empty	journalism	Kim Severson	&ldquo;Food Writing in the #MeToo Era&rdquo;		16 July 2018	The New York Times																				

The woman was supposed to cook at home, for the family...she had been appointed by the president, and that no one else mattered.	shake	journalism	Elaine Sciolino	&ldquo;Culinary Battles of Mitterand&rsquo;s Chef go From Kitchen to Screen&rdquo;		26 October 2012	The New York Times																				

They nickname her Countess du Barry after the favorite mistress of King Louis XV, and Mamie Nova, after a brand of dairy products that has a grandmother as its logo.	remove	journalism	Elaine Sciolino	&ldquo;Culinary Battles of Mitterand&rsquo;s Chef go From Kitchen to Screen&rdquo;		26 October 2012	The New York Times																				

[S]he becomes a self-righteous Joan of Arc of the kitchen.	check	journalism	Elaine Sciolino	&ldquo;Culinary Battles of Mitterand&rsquo;s Chef go From Kitchen to Screen&rdquo;		26 October 2012	The New York Times																				

[S]he realized early on that to survive in this new job, she needed an old kitchen skill&#58; the ability to appear tough, harsh and thick-skinned. She, like most chefs at the time, had been trained in restaurant kitchens where shouting, sexism and slashing insults were the norm.	take	journalism	Julia Moskin and Kim Severson	&ldquo;April Bloomfield Breaks Her Silence About Harassment at Her Restaurants&rdquo;		16 October 2018	The New York Times																				

It always seems very strange to me that women are home cooking and they don&rsquo;t get paid.	take	journalism	Judy Klemesrud	&ldquo;A Woman Chef at the Waldorf is Hotel&rsquo;s First&rdquo;		12 February 1973	The New York Times																				

[S]he complained she was consigned to an area of the kitchen referred to by her male colleagues as &ldquo;the c*** corner.&rdquo;	squeeze	journalism		&ldquo;Men in Ramsay&rsquo;s Kitchen Made my Life Hell, Says Woman Chef&rdquo;		22 April 2011	The Times																				

They can stand the heat and they have every intention of taking more ground in the kitchen.	turn-on	journalism	Gabriella Bennett	&ldquo;Festival&rsquo;s All-Female Line-up Reflects Change in the Professional Kitchen&rdquo;		1 May 2017	The Times																				

Many women expressed relief that the systemic misogyny and sexual harassment they have experienced in their workplaces have become public knowledge.	wash	journalism	Julia Moskin	&ldquo;Star Sommelier Resigns After Accusations of Sexual Assault&rdquo;		7 November 2019	The New York Times																				

She decided to work harder, knowing that pushing back could put her job in jeopardy.	adjust	journalism	Julia Moskin and Kim Severson	&ldquo;Ken Friedman, Power Restaurateur, Is Accused of Sexual Harassment&rdquo;		12 December 2017	The New York Times																				

&ldquo;&lsquo;Everyone&rsquo; means the male chefs and the male restaurant owners and the male C.F.O.s,&rdquo; she said. &ldquo;Advancement is incredibly hard for women in this industry because you never know what the men are saying about you.&rdquo;	press	journalism	Julia Moskin and Kim Severson	&ldquo;Ken Friedman, Power Restaurateur, Is Accused of Sexual Harassment&rdquo;		12 December 2017																					

Interviews with more than 30 women in the industry suggest that sexual harassment is routine and sexual assault is pervasive. Many said they had been assaulted on the job by men they reported to or had professional relationships with.	squeeze	journalism	Julia Moskin	&ldquo;A Celebrity Sommelier Is Accused of Sexual Assault&rdquo;		1 November 2019																					

A former McDonald&rsquo;s employee who says a manager at a Michigan store grabbed her breasts and buttocks is suing the chain, blaming her mistreatment on what she calls a culture of sexual harassment at the fast-food company.	take	journalism	David Yaffe-Bellany	&ldquo;McDonald&rsquo;s Lawsuit Targets ÔPervasive&rsquo; Culture of Sexual Harassment&rdquo;		12 November 2019																					

It isn&rsquo;t just the notoriously sexist culture of restaurant kitchens that is at fault, but the economic structure that turns customers into shadow employers, leaving servers&mdash;so often women&mdash;vulnerable to the predations anyone picking up the bill might feel entitled to exercise.	squeeze	journalism	Ginia Bellafante	&ldquo;When Living on Tips Means Putting Up With Harassment&rdquo;		17 October 2014																					

&ldquo;It&rsquo;s stupid. A chef is a chef.&rdquo;	flip	journalism	Miranda Bryant	&ldquo;Three Michelin Stars! Meet the First Woman to Smash America&rsquo;s Boys&rsquo; Club&rdquo;		11 February 2019	The Guardian																				

Today, Mario Batali surrendered ownership of all of his restaurants. In 2017, @hels wrote about the celebrity chef&rsquo;s long history of disregard for boundaries, and his #MeToo-era reckoning	empty	socialmedia	The New Yorker			6 March 2019																					

&ldquo;The #MeToo movement has uncovered a myriad of abuses in the restaurant industry that must be addressed&rdquo;	turn-on	socialmedia	Time			11 February 2019																					

Mario Batali stepped away from his restaurant empire after several women accused him of sexual harassment and assault. Like some of the men accused of misconduct during the #MeToo movement, Batali faced civil litigation but had avoided criminal charges.	peel	socialmedia	The Boston Globe			22 May 2019																					

EXCLUSIVE: BBC chef who stars in show with Mary Berry banned from own restaurant over sexual harassment claims Dan Doherty, ex-Duck &amp; Waffle head chef, investigated after demanding &ldquo;blow job&rdquo; and asking female staff for sex. #MeToo meets culinary world	remove	socialmedia	Gabriel Pogrund			29 January 2019																					

Shocking tales from the kitchen here&mdash;is the restaurant world having its #MeToo moment?	open	socialmedia	Telegraph Woman			29 January 2019																					

We reached a settlement for 11 former employees of NYC restaurant The Spotted Pig after finding owner Ken Friedman subjected employees to severe incidents of unwanted touching &amp; sexual advances. The survivors will get $240K & a 10-year profit share from the restaurant. #MeToo	wash	socialmedia	NY AG James			7 January 2020																					

Working people should be safe on the job, free from sexual harassment, assault, and other awful behavior/actions. For too long, corporations like McDonald&rsquo;s ignored what happened inside their restaurants. That changes now. #MeToo	mix	socialmedia	Jobs for Justice			23 May 2019																					

The investigation, which began in 2018, also found that employees had endured &ldquo;severe and pervasive incidents of unwanted touching and unwelcome sexual advances&rdquo; by Mario Batali. The inquiry into Mr. Batali remains open.	open	socialmedia	NYT Food			7 January 2020																					

Actions have consequences. Major #WomensHistoryMonth milestone moment for the brave survivors of serial sexual harasser Mario Batali, who sold all shares of his restaurants. May ALL restaurants and kitchens be safe from abuse. #WeSaidEnough #MeToo	cut	socialmedia	Christine Pelosi			6 March 2019																					

A line cook is less likely to pretend a baguette is a penis, but has #MeToo has really changed the restaurant business?	check	socialmedia	Kim Severson			27 September 2019																					

We both agree there have been significant changes since towering culinary figures like John Besh, Mario Batali and Ken Friedman fell after women told their stories about sexual harassment, abuse and assault.	wash	journalism	Kim Severson	&ldquo;How #MeToo Changed Your Lunch&rdquo;		27 September 2019	The New York Times																				

Sexual harassment in the hospitality industry has deep roots tied to racial, gender and economic oppression, she said. A new human resource policy or a pat on the back for an enlightened manager are mere Band-Aids.	insert	journalism	Kim Severson	&ldquo;How #MeToo Changed Your Lunch&rdquo;		27 September 2019	The New York Times																				

&ldquo;Nothing,&rdquo; she said, &ldquo;is just about the food anymore.&rdquo;	open	journalism	Kim Severson	&ldquo;How #MeToo Changed Your Lunch&rdquo;			The New York Times																				

Dan Doherty sacked from his own restaurant, The Royal Oak in Marylebone. He left his role at the BBC earlier today. #MeToo meets the British culinary world for the first time	remove	socialmedia	Gabriel Pogrund			28 September 2019																					

I was too busy emulating and living through the toxic kitchen bro culture to see it for what it was. In the wake of the #MeToo, we can&rsquo;t pretend it&rsquo;s okay any longer.	turn	journalism	Naomi Pomeroy	&ldquo;As a Chef and a Woman, I Regret Joining the Boys&rsquo; Club&rdquo;		21 June 2018	Eater New York																				

Celebrity chef Mario Batali will be arraigned Friday in Boston for criminal charges including indecent assault and battery at a Boston restaurant in 2017.  It&rsquo;s the first criminal charge against Batali resulting from several #MeToo allegations. 	peel	socialmedia	Amee Vanderpool			23 May 2019																					

Shocking tales from the kitchen here - is the restaurant world having its #MeToo moment? @Asma_KhanLDN	open	socialmedia	Telegraph Woman			29 January 2019																					

&ldquo;We fought to get a leg up by being &lsquo;one of the guys.&rsquo; We partied with them, let some of them slap us on the ass. We learned that the real way of handling it and getting ahaed was maintaining (if not even creating) the bro code.&rdquo;	squeeze	journalism	Naomi Pomeroy	&ldquo;As a Chef and a Woman, I Regret Joining the Boys&rsquo; Club&rdquo;		21 June 2018	Eater New York																				

I&rsquo;ve long been aware of the exploitation, violence and abuse that goes on behind the scenes of so many top restaurants, and the tales I&rsquo;ve been told by other women in the trade would do more than put you off your food.	put	journalism	Asma Khan	&ldquo;They put her in the fridge and touch her up&rdquo;: Is the restaurant world having its #MeToo moment?"		29 January 2019	The Telegraph																				

&ldquo;Men yelled and screamed and got fawning profiles. Why shouldn&rsquo;t I behave the way I saw worked for them? I was one of them, I thought.&rdquo;	throw	journalism	Naomi Pomeroy	&ldquo;As a Chef and a Woman, I Regret Joining the Boys&rsquo; Club&rdquo;		21 June 2018	Eater New York																				

&ldquo;As women leaders in our industry, it is our duty to put into place a new set of rules. Let&rsquo;s all rethink and redefine what &lsquo;after-hours super fun shit&rsquo; really means. We&rsquo;ve come too far to turn back now.&rdquo;	adjust	journalism	Naomi Pomeroy	&ldquo;As a Chef and a Woman, I Regret Joining the Boys&rsquo; Club&rdquo;		21 June 2018	Eater New York																				

I know of one woman who worked in a top fine dining establishment in an upmarket neighbourhood of London. Each day when she arrived at her workplace, the morning ritual to which she was subjected was a huge, hard slap on the back from the head chef. It was obvious the violence, not to mention the power imbalance, gave him pleasure.	squeeze	journalism	Asma Khan	&ldquo;They put her in the fridge and touch her up&rdquo;: Is the restaurant world having its #MeToo moment?"		29 January 2019	The Telegraph																				

Another chef told me she&rsquo;d been sent inappropriate and suggestive text messages by a celebrity chef whom she worked for. But she was too scared to breathe a word of it, fearing she&rsquo;d never get a reference. Instead she sat it out for a year until she found a better place to move on to.	dry	journalism	Asma Khan	&ldquo;They put her in the fridge and touch her up&rdquo;: Is the restaurant world having its #MeToo moment?"		29 January 2019	The Telegraph																				

&ldquo;But hurting people was never actually character-building, and, certainly, sexualizing subordinates was never making the work better.&rdquo;	check	journalism	Jen Agg	&ldquo;It&rsquo;s not Just &lsquo;Kitchen Talk,&rsquo; it&rsquo;s Abuse&rdquo;		6 September 2018	Eater New York																				

It&rsquo;s not only physical and sexual abuse, but sometimes also racial. One female chef from South Africa was called a &ldquo;black b----&rdquo;when she first came to work in a restaurant kitchen in London. Her colleagues who heard this just laughed.	peel	journalism	Asma Khan	&ldquo;They put her in the fridge and touch her up&rdquo;: Is the restaurant world having its #MeToo moment?"		29 January 2019	The Telegraph																				

Meanwhile, a friend of mine will regularly walk into the kitchen she works in, where the chefs will pick her up, put her in the walk-in fridge and touch her up.	squeeze	journalism	Asma Khan	&ldquo;They put her in the fridge and touch her up&rdquo;: Is the restaurant world having its #MeToo moment?"		29 January 2019	The Telegraph																				

There&rsquo;s something like a wolf pack mentality at times, with the men ganging up to undermine the status of the (very few) women they work with. A lot of women keep quiet and accept this, out of fear they&rsquo;ll be sacked, or from shame.	turn-off	journalism	Asma Khan	&ldquo;They put her in the fridge and touch her up&rdquo;: Is the restaurant world having its #MeToo moment?"		29 January 2019	The Telegraph																				

I know of one very young and innocent woman who complained to the female owner of a top restaurant about bullying from the male chefs. It was the victim who was sacked from her job. 	throw	journalism	Asma Khan	&ldquo;They put her in the fridge and touch her up&rdquo;: Is the restaurant world having its #MeToo moment?"		29 January 2019	The Telegraph																				

Asking the industry to clean up its language along with its behavior really is the bare minimum.	wash	journalism	Jen Agg	&ldquo;It&rsquo;s not Just &lsquo;Kitchen Talk,&rsquo; it&rsquo;s Abuse&rdquo;		6 September 2018	Eater New York																				

Another female chef suffered severe burns to her hands when a male chef threw a boiling piece of meat across the kitchen at her face. In shielding her face, it was her hands that got seared.	flip	journalism	Asma Khan	&ldquo;They put her in the fridge and touch her up&rdquo;: Is the restaurant world having its #MeToo moment?"		29 January 2019	The Telegraph																				

So how, you might wonder, have these men got away with it so long? Some people point to the high pressure working conditions, the long hours and the stressful environment, that makes many top kitchens hellholes of abuse.	mix	journalism	Asma Khan	&ldquo;They put her in the fridge and touch her up&rdquo;: Is the restaurant world having its #MeToo moment?"		29 January 2019	The Telegraph																				

Anyone questioning this necessary advancement is doing so from a place of fear - fear of power loss, fear of the unknown, and the extremely lazy fear of having to learn not to call people objectively derogatory names, or you know, harass them.	adjust	journalism	Jen Agg	&ldquo;It&rsquo;s not Just &lsquo;Kitchen Talk,&rsquo; it&rsquo;s Abuse&rdquo;		6 September 2018	Eater New York																				

The pressure in a kitchen is intense, that&rsquo;s for sure. But if abusing someone else is your reaction, you ought to be in therapy and not working there at all. There still exists a culture of heavy drinking and drug-taking, but again it can&rsquo;t explain away the problem &mdash; although it&rsquo;s arguably yet another symptom.	check	journalism	Asma Khan 	&ldquo;They put her in the fridge and touch her up&rdquo;: Is the restaurant world having its #MeToo moment?"		29 January 2019	The Telegraph																				

What lies behind this phenomenon is a culture where the head chef is king and operates within a network that&rsquo;s a boys&rsquo; club in essence.	insert	journalism	Asma Khan	&ldquo;They put her in the fridge and touch her up&rdquo;: Is the restaurant world having its #MeToo moment?"		29 January 2019	The Telegraph																				

[A]s though the right to exist without enduring blatant sexism is &ldquo;politics.&rdquo;	pour	journalism	Jen Agg	&ldquo;I am a Restaurant Owner. Why Aren&rsquo;t my Peers as Disgusted by Sexism as I Am?&rdquo;		31 January 2017	Eater New York																				

The celebrity chefs aren&rsquo;t immune &mdash; quite the contrary &mdash; because the greater their profile, the less likely are victims to complain. If the culprit was a nobody, you would slap them and leave. But if you slap a famous chef you might never work again.	shake	journalism	Asma Khan	&ldquo;They put her in the fridge and touch her up&rdquo;: Is the restaurant world having its #MeToo moment?"		29 January 2019	The Telegraph																				

Some female chefs have confessed to me they are even too ashamed to tell their parents or partners that they&rsquo;re having a hard time in their workplace. They fear being ostracised, losing their jobs, or failing to progress in their careers.	turn-off	journalism	Asma Khan	&ldquo;They put her in the fridge and touch her up&rdquo;: Is the restaurant world having its #MeToo moment?"		29 January 2019	The Telegraph																				

Indeed, many of the highly regarded female chefs in the industry today worked closely with male chefs before making it on their own. It&rsquo;s rare to see a woman succeeding on her own in the restaurant business.	adjust	journalism	Asma Khan	&ldquo;They put her in the fridge and touch her up&rdquo;: Is the restaurant world having its #MeToo moment?"		29 January 2019	The Telegraph																				

It takes a brave soul to object, especially when the owners of the restaurants are arguably complicit themselves.	flip	journalism	Asma Khan	&ldquo;They put her in the fridge and touch her up&rdquo;: Is the restaurant world having its #MeToo moment?"		29 January 2019	The Telegraph																				

Some female chefs visiting my restaurant break down in tears of disbelief: &ldquo;My God, there&rsquo;s no shouting here,&rdquo; they say. Yes, the working conditions in some restaurants can be brutal &mdash; but they don&rsquo;t have to be.	shake	journalism	Asma Khan	&ldquo;They put her in the fridge and touch her up&rdquo;: Is the restaurant world having its #MeToo moment?"		29 January 2019	 The Telegraph																				

Restaurants usually need more women working there, in part because there&rsquo;s safety in numbers. When surrounded by a gang of male chefs, a woman can easily grow isolated.	mix	journalism	Asma Khan	&ldquo;They put her in the fridge and touch her up&rdquo;: Is the restaurant world having its #MeToo moment?"		29 January 2019	The Telegraph																				

